cavity width in [cm],   cavity displacement ∆L in [cm],    u(∆L) in [cm],    P(HeNe) in [uW],   u(P(HeNe)) in [uW],   P(flour) in [mW],   u(P(fluor)) in [mW]
60.5, 0,  0.1,  157.4,    0.2,    67.6,   0.1
61.5, 1,  0.1,  158.8,    0.1,    67.8,   0.1
62.5, 2,  0.1,  153.7,    0.3,    67.8,   0.1
63.5, 3,  0.1,  143.0,    0.1,    68.0,   0.1
64.5, 4,  0.1,  126.9,    0.1,    68.1,   0.1
65.5, 5,  0.1,  111.0,    0.2,    67.8,   0.1
66.5, 6,  0.1,  97.0,     0.3,    68.0,   0.1
67.5, 7,  0.1,  91.4,     0.2,    67.9,   0.1
68.5, 8,  0.1,  86.4,     0.1,    68.0,   0.1
69.5, 9,  0.1,  81.3,     0.3,    68.4,   0.1
70.5, 10, 0.1,  69.2,     0.2,    68.5,   0.1
70.7, 10.2,0.1, 69.2,     0.1,    68.7,   0.1
71,   10.5,0.1, 68.9,     0.1,    68.6,   0.1