4.33681e-19,6.38e-02,5.30e+00
5e-06,6.38e-02,5.30e+00
1e-05,6.34e-02,5.30e+00
1.5e-05,6.34e-02,5.30e+00
2e-05,6.32e-02,5.30e+00
2.5e-05,6.32e-02,5.30e+00
3e-05,6.22e-02,5.30e+00
3.5e-05,6.22e-02,5.30e+00
4e-05,6.18e-02,5.30e+00
4.5e-05,6.18e-02,5.30e+00
5e-05,6.18e-02,5.30e+00
5.5e-05,6.18e-02,5.30e+00
6e-05,6.12e-02,5.30e+00
6.5e-05,6.12e-02,5.30e+00
7e-05,6.06e-02,5.30e+00
7.5e-05,6.06e-02,5.30e+00
8e-05,6.06e-02,5.30e+00
8.5e-05,6.06e-02,5.30e+00
9e-05,6.04e-02,5.30e+00
9.5e-05,6.04e-02,5.30e+00
0.0001,5.96e-02,5.32e+00
0.000105,5.96e-02,5.32e+00
0.00011,5.90e-02,5.30e+00
0.000115,5.90e-02,5.30e+00
0.00012,5.92e-02,5.30e+00
0.000125,5.92e-02,5.30e+00
0.00013,5.84e-02,5.28e+00
0.000135,5.84e-02,5.28e+00
0.00014,5.88e-02,5.28e+00
0.000145,5.88e-02,5.28e+00
0.00015,5.78e-02,5.30e+00
0.000155,5.78e-02,5.30e+00
0.00016,5.76e-02,5.28e+00
0.000165,5.76e-02,5.28e+00
0.00017,5.68e-02,5.30e+00
0.000175,5.68e-02,5.30e+00
0.00018,5.68e-02,5.30e+00
0.000185,5.68e-02,5.30e+00
0.00019,5.66e-02,5.30e+00
0.000195,5.66e-02,5.30e+00
0.0002,5.56e-02,5.30e+00
0.000205,5.56e-02,5.30e+00
0.00021,5.62e-02,5.28e+00
0.000215,5.62e-02,5.28e+00
0.00022,5.56e-02,5.28e+00
0.000225,5.56e-02,5.28e+00
0.00023,5.60e-02,5.28e+00
0.000235,5.60e-02,5.28e+00
0.00024,5.52e-02,5.30e+00
0.000245,5.52e-02,5.30e+00
0.00025,5.52e-02,5.28e+00
0.000255,5.52e-02,5.28e+00
0.00026,5.46e-02,5.30e+00
0.000265,5.46e-02,5.30e+00
0.00027,5.42e-02,5.30e+00
0.000275,5.42e-02,5.30e+00
0.00028,5.42e-02,5.30e+00
0.000285,5.42e-02,5.30e+00
0.00029,5.42e-02,5.30e+00
0.000295,5.42e-02,5.30e+00
0.0003,5.42e-02,5.30e+00
0.000305,5.42e-02,5.30e+00
0.00031,5.42e-02,5.30e+00
0.000315,5.42e-02,5.30e+00
0.00032,5.34e-02,5.30e+00
0.000325,5.34e-02,5.30e+00
0.00033,5.32e-02,5.30e+00
0.000335,5.32e-02,5.30e+00
0.00034,5.36e-02,5.28e+00
0.000345,5.36e-02,5.28e+00
0.00035,5.36e-02,5.30e+00
0.000355,5.36e-02,5.30e+00
0.00036,5.34e-02,5.28e+00
0.000365,5.34e-02,5.28e+00
0.00037,5.32e-02,5.32e+00
0.000375,5.32e-02,5.32e+00
0.00038,5.30e-02,5.28e+00
0.000385,5.30e-02,5.28e+00
0.00039,5.32e-02,5.30e+00
0.000395,5.32e-02,5.30e+00
0.0004,5.26e-02,5.30e+00
0.000405,5.26e-02,5.30e+00
0.00041,5.26e-02,5.32e+00
0.000415,5.26e-02,5.32e+00
0.00042,5.26e-02,5.32e+00
0.000425,5.26e-02,5.32e+00
0.00043,5.28e-02,5.30e+00
0.000435,5.28e-02,5.30e+00
0.00044,5.24e-02,5.30e+00
0.000445,5.24e-02,5.30e+00
0.00045,5.22e-02,5.30e+00
0.000455,5.22e-02,5.30e+00
0.00046,5.18e-02,5.32e+00
0.000465,5.18e-02,5.32e+00
0.00047,5.20e-02,5.30e+00
0.000475,5.20e-02,5.30e+00
0.00048,5.14e-02,5.32e+00
0.000485,5.14e-02,5.32e+00
0.00049,5.12e-02,5.30e+00
0.000495,5.12e-02,5.30e+00
0.0005,5.18e-02,5.28e+00
0.000505,5.18e-02,5.28e+00
0.00051,5.12e-02,5.28e+00
0.000515,5.12e-02,5.28e+00
0.00052,5.16e-02,5.32e+00
0.000525,5.16e-02,5.32e+00
0.00053,5.14e-02,5.28e+00
0.000535,5.14e-02,5.28e+00
0.00054,5.16e-02,5.30e+00
0.000545,5.16e-02,5.30e+00
0.00055,5.14e-02,5.28e+00
0.000555,5.14e-02,5.28e+00
0.00056,5.14e-02,5.30e+00
0.000565,5.14e-02,5.30e+00
0.00057,5.14e-02,5.28e+00
0.000575,5.14e-02,5.28e+00
0.00058,5.18e-02,5.30e+00
0.000585,5.18e-02,5.30e+00
0.00059,5.12e-02,5.28e+00
0.000595,5.12e-02,5.28e+00
0.0006,5.12e-02,5.28e+00
0.000605,5.12e-02,5.28e+00
0.00061,5.10e-02,5.30e+00
0.000615,5.10e-02,5.30e+00
0.00062,5.10e-02,5.28e+00
0.000625,5.10e-02,5.28e+00
0.00063,5.10e-02,5.30e+00
0.000635,5.10e-02,5.30e+00
0.00064,5.14e-02,5.30e+00
0.000645,5.14e-02,5.30e+00
0.00065,5.10e-02,5.30e+00
0.000655,5.10e-02,5.30e+00
0.00066,5.10e-02,5.32e+00
0.000665,5.10e-02,5.32e+00
0.00067,5.08e-02,5.32e+00
0.000675,5.08e-02,5.32e+00
0.00068,5.08e-02,5.28e+00
0.000685,5.08e-02,5.28e+00
0.00069,5.04e-02,5.28e+00
0.000695,5.04e-02,5.28e+00
0.0007,5.06e-02,5.30e+00
0.000705,5.06e-02,5.30e+00
0.00071,5.04e-02,5.30e+00
0.000715,5.04e-02,5.30e+00
0.00072,5.06e-02,5.30e+00
0.000725,5.06e-02,5.30e+00
0.00073,5.04e-02,5.28e+00
0.000735,5.04e-02,5.28e+00
0.00074,5.08e-02,5.30e+00
0.000745,5.08e-02,5.30e+00
0.00075,5.06e-02,5.30e+00
0.000755,5.06e-02,5.30e+00
0.00076,5.04e-02,5.30e+00
0.000765,5.04e-02,5.30e+00
0.00077,4.98e-02,5.32e+00
0.000775,4.98e-02,5.32e+00
0.00078,5.02e-02,5.30e+00
0.000785,5.02e-02,5.30e+00
0.00079,5.00e-02,5.30e+00
0.000795,5.00e-02,5.30e+00
0.0008,5.04e-02,5.32e+00
0.000805,5.04e-02,5.32e+00
0.00081,5.06e-02,5.30e+00
0.000815,5.06e-02,5.30e+00
0.00082,5.02e-02,5.30e+00
0.000825,5.02e-02,5.30e+00
0.00083,5.02e-02,5.30e+00
0.000835,5.02e-02,5.30e+00
0.00084,5.04e-02,5.30e+00
0.000845,5.04e-02,5.30e+00
0.00085,5.06e-02,5.30e+00
0.000855,5.06e-02,5.30e+00
0.00086,5.04e-02,5.28e+00
0.000865,5.04e-02,5.28e+00
0.00087,5.04e-02,5.28e+00
0.000875,5.04e-02,5.28e+00
0.00088,5.08e-02,5.30e+00
0.000885,5.08e-02,5.30e+00
0.00089,5.02e-02,5.30e+00
0.000895,5.02e-02,5.30e+00
0.0009,5.06e-02,5.30e+00
0.000905,5.06e-02,5.30e+00
0.00091,5.04e-02,5.30e+00
0.000915,5.04e-02,5.30e+00
0.00092,5.04e-02,5.30e+00
0.000925,5.04e-02,5.30e+00
0.00093,5.00e-02,5.30e+00
0.000935,5.00e-02,5.30e+00
0.00094,5.00e-02,5.30e+00
0.000945,5.00e-02,5.30e+00
0.00095,5.02e-02,5.28e+00
0.000955,5.02e-02,5.28e+00
0.00096,4.98e-02,5.30e+00
0.000965,4.98e-02,5.30e+00
0.00097,5.00e-02,5.30e+00
0.000975,5.00e-02,5.30e+00
0.00098,4.98e-02,5.28e+00
0.000985,4.98e-02,5.28e+00
0.00099,4.96e-02,5.30e+00
0.000995,4.96e-02,5.30e+00
